City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,24.19,97,100,1.34,EC,1678270213
1,port elizabeth,-33.918,25.5701,24.62,68,1,4.02,ZA,1678270271
2,talnakh,69.4865,88.3972,-27.72,96,94,3.49,RU,1678270271
3,chivay,-15.6383,-71.6011,8.96,87,100,0.42,PE,1678270271
4,vaini,-21.2,-175.2,25.7,68,89,9.78,TO,1678270272
5,darnah,32.767,22.6367,18.63,59,18,5.27,LY,1678270272
6,hobart,-42.8794,147.3294,12.37,65,40,8.23,AU,1678270072
7,hermanus,-34.4187,19.2345,25.45,65,15,7.09,ZA,1678270272
8,acapulco,16.8634,-99.8901,22.9,88,0,1.03,MX,1678270273
9,husavik,66.0449,-17.3389,-5.06,74,100,8.46,IS,1678270273
10,saskylakh,71.9167,114.0833,-26.01,97,72,3.69,RU,1678270273
11,bethel,41.3712,-73.414,-1.47,66,75,5.14,US,1678270273
12,lagoa,39.05,-27.9833,14.84,82,34,15.25,PT,1678270274
13,punta arenas,-53.15,-70.9167,5.06,81,75,2.06,CL,1678270274
14,busselton,-33.65,115.3333,21.27,63,98,6.03,AU,1678270274
15,praia,14.9215,-23.5087,31.3,12,20,6.17,CV,1678270274
16,torbay,47.6666,-52.7314,1.26,93,100,8.94,CA,1678270274
17,dikson,73.5069,80.5464,-35.84,97,27,2.24,RU,1678270274
18,hearst,49.6835,-83.6665,-14.87,99,100,2.35,CA,1678270275
19,ribeira grande,38.5167,-28.7,17.1,88,40,11.83,PT,1678270275
20,radhanpur,23.8333,71.6,34.63,14,1,5.98,IN,1678270275
21,ushuaia,-54.8,-68.3,-0.06,95,47,2.45,AR,1678270050
22,chokurdakh,70.6333,147.9167,-37.57,100,95,1.63,RU,1678270233
23,bredasdorp,-34.5322,20.0403,24.8,48,0,6.38,ZA,1678270120
24,bocas del toro,9.3333,-82.25,23.8,80,100,2.21,PA,1678270275
25,kurumkan,54.3,110.3,-7.85,87,64,1.14,RU,1678270275
26,los llanos de aridane,28.6585,-17.9182,18.86,79,0,1.03,ES,1678270275
27,buraydah,26.326,43.975,27.86,25,76,1.86,SA,1678270208
28,upernavik,72.7868,-56.1549,-17.23,96,84,3.8,GL,1678270201
29,pavlogradka,54.2024,73.5592,-5.05,89,65,7.54,RU,1678270276
30,svelvik,59.6137,10.4087,0.36,59,18,0.67,NO,1678270276
31,port alfred,-33.5906,26.891,24.54,77,14,4.02,ZA,1678270276
32,mataura,-46.1927,168.8643,16.78,60,94,1.49,NZ,1678270276
33,albany,42.6001,-73.9662,-3.21,72,20,0.89,US,1678270276
34,cape town,-33.9258,18.4232,22.29,79,100,3.58,ZA,1678270103
35,provideniya,64.3833,-173.3,-18.81,100,99,1.16,RU,1678270276
36,souillac,-20.5167,57.5167,27.28,68,100,6.52,MU,1678270276
37,rikitea,-23.1203,-134.9692,25.84,84,100,8.28,PF,1678270276
38,chuy,-33.6971,-53.4616,21.79,97,95,1.83,UY,1678270277
39,xai-xai,-25.0519,33.6442,28.17,59,12,4.94,MZ,1678270277
40,thompson,55.7435,-97.8558,-29.81,100,100,1.48,CA,1678270277
41,guerrero negro,27.9769,-114.0611,12.75,74,4,7.6,MX,1678270030
42,beloha,-25.1667,45.05,32.21,49,51,4.35,MG,1678270277
43,nikolskoye,59.7035,30.7861,-1.16,91,100,5.12,RU,1678270277
44,jamestown,42.097,-79.2353,-1.23,69,100,5.14,US,1678270277
45,atuona,-9.8,-139.0333,26.32,79,59,4.7,PF,1678270277
46,harper,4.375,-7.7169,29.05,70,94,3.23,LR,1678270278
47,lensk,60.7253,114.9278,-4.41,94,93,2.71,RU,1678270278
48,qaanaaq,77.484,-69.3632,-16.54,89,57,2.77,GL,1678270278
49,ambilobe,-13.2,49.05,30.15,66,53,4.9,MG,1678270278
50,pevek,69.7008,170.3133,-28.16,90,94,0.99,RU,1678270278
51,lompoc,34.6391,-120.4579,4.77,91,75,0.0,US,1678270278
52,port hardy,50.6996,-127.4199,2.43,92,99,1.62,CA,1678270278
53,eyl,7.9803,49.8164,29.31,53,28,8.26,SO,1678270279
54,maridi,4.9158,29.4742,39.4,16,60,3.09,SS,1678270279
55,tieli,46.95,128.05,-3.3,82,76,1.96,CN,1678270279
56,diego de almagro,-26.3667,-70.05,15.26,76,5,0.76,CL,1678270279
57,ilulissat,69.2167,-51.1,-3.99,39,87,4.63,GL,1678270279
58,karratha,-20.7377,116.8463,31.22,59,6,4.04,AU,1678270279
59,kuching,1.55,110.3333,29.45,82,20,2.68,MY,1678270279
60,magnitogorsk,53.4186,59.0472,-2.91,68,75,8.0,RU,1678270198
61,prince albert,53.2001,-105.7677,-18.96,98,96,3.32,CA,1678270279
62,manggar,-2.8833,108.2667,27.28,79,72,1.08,ID,1678270280
63,sao filipe,14.8961,-24.4956,24.73,65,0,4.05,CV,1678270280
64,shitkino,56.3703,98.3543,-1.86,97,100,4.4,RU,1678270280
65,carnarvon,-24.8667,113.6333,26.91,69,6,11.52,AU,1678270280
66,salvador,13.8333,-88.9167,18.92,84,90,0.98,SV,1678270225
67,mahebourg,-20.4081,57.7,29.03,67,96,6.42,MU,1678270280
68,mar del plata,-38.0023,-57.5575,21.72,94,20,1.79,AR,1678270071
69,ancud,-41.8697,-73.8203,10.25,89,27,0.52,CL,1678270280
70,chhapar,27.8167,74.4,29.23,18,96,3.5,IN,1678270280
71,hilo,19.7297,-155.09,22.92,89,0,2.57,US,1678270077
72,tiksi,71.6872,128.8694,-27.81,94,83,2.35,RU,1678270104
73,jasper,37.2001,-94.3502,8.83,84,100,2.57,US,1678270281
74,flinders,-34.5833,150.8552,21.14,53,22,5.28,AU,1678270281
75,tasiilaq,65.6145,-37.6368,-8.91,75,7,2.82,GL,1678270281
76,barvinkove,48.9097,37.0205,10.28,70,100,6.94,UA,1678270281
77,arraial do cabo,-22.9661,-42.0278,25.92,78,0,6.69,BR,1678270281
78,escondido,33.1192,-117.0864,8.73,87,0,1.54,US,1678270281
79,butaritari,3.0707,172.7902,27.45,73,100,4.66,KI,1678270282
80,leningradskiy,69.3833,178.4167,-30.16,92,16,1.7,RU,1678270282
81,caldwell,43.6629,-116.6874,0.08,82,0,6.69,US,1678270282
82,havoysund,70.9963,24.6622,-1.87,85,100,6.86,NO,1678270282
83,dalvik,65.9702,-18.5286,-6.14,88,100,6.43,IS,1678270282
84,kaitangata,-46.2817,169.8464,15.47,79,99,1.78,NZ,1678270282
85,labuhan,-6.8844,112.2051,27.87,78,31,2.06,ID,1678270282
86,nizhnyaya tavda,57.6731,66.1725,-6.76,82,100,2.55,RU,1678270282
87,smithers,54.7804,-127.1743,-7.48,96,100,1.03,CA,1678270283
88,malakal,9.5334,31.6605,37.72,15,94,1.99,SS,1678270283
89,marawi,7.9986,124.2928,20.92,97,70,1.83,PH,1678270283
90,ust-nera,64.5667,143.2,-30.39,100,91,1.35,RU,1678270283
